Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
730,Naranja,"Recuperación Economica Salud COVID
Familia / Futuro","Asertividad
Certeza Compromiso",20 - 36 años 4 - 7 pm WA FB Medios Locales,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,300 personas
731,Rojo,Salud / COVID EMPLEO / SEGURIDAD,Empatia / Pasión / Fervor / Arrojo,20 - 40 años 1 - 4 pm WA FB / TW Medios Locales,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,100 - 200 personas
732,Amarillo,Relevo Generacional / Confianza / Experiencia,"Asertividad
Certeza Compromiso",20 - 25 años 4 - 6 pm WA FB / TW,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,100 - 200 personas
733,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años 4 - 7 pm WA FB Medios Locales,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,50 - 300 personas
734,Naranja,Salud / COVID EMPLEO / SEGURIDAD,"Asertividad
Certeza Compromiso",20 - 25 años 4 - 6 pm WA FB / TW,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,50 - 300 personas
735,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 40 años 1 - 4 pm WA FB / TW Medios Locales,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,50 - 150 personas
739,Rojo,"Recuperación Economica Salud COVID
Familia / Futuro",Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años 4 - 7 pm WA FB Medios Locales,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,300 personas
740,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años 4 - 6 pm WA FB / TW,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,100 - 200 personas
741,Amarillo,Relevo Generacional / Confianza / Experiencia,"Asertividad
Certeza Compromiso",20 - 25 años 4 - 6 pm WA FB / TW,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,100 - 200 personas
742,Naranja,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años 4 - 6 pm WA FB / TW,Hombres 20 - 56 12 - 3 pm FB Medios Locales TW,2 veces al dia.,100 - 200 personas
