Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
1436,Azul,Empleo/Violencia/ Policia/Apoyo/Emprendedores/Programas Sociales Irrevocables,Liderazgo/Certeza/Compromiso/Control/Fuerzas Policiacas,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1457,Azul,Empleo/Recuperación Economica/Seguridad ,Empatia/Certeza/Compromiso Brio Animo Logros,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1608,Amarillo,Empleo/Recuperación Economica/Seguridad ,Orgullo/Generosidad/Consideración  Cercania Logros,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1601,Azul,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1594,Amarillo,Empleo/Recuperación Economica /Seguridad ,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1609,Rojo,Empleo/Recuperación Economica /Seguridad ,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1607,Amarillo,Empleo/Recuperación Economica /Seguridad ,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1580,Rojo,Empleo/Violencia Policia/Apoyo Emprendedores/Programas Sociales Irrevocables,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1600,Amarillo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
1539,Rojo,Certeza Empresarial /Apoyos Empresas,Pertenencia/Certeza/Empatia / Agradecimiento / Humildad,20 - 36 años / 4 - 7 pm / FB / Medios Locales / Periódicos Digitales / WA,20 - 56 / 12 - 3 pm / FB / Medios Locales / TW / Periódicos / Digitales,3 veces al dia.,75 personas
