Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast,
0730,Rojo ,Recuperación Economica / Salud COVID / Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años / 4 - 7 pm/WA/FB/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0731,Rojo,Salud / COVID EMPLEO / SEGURIDAD,Empatia / Pasión / Fervor / Arrojo,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 - 120 personas,
0732,Verde,Relevo Generacional / Confianza / Experiencia ,Liderazgo/Certeza/Compromiso Control Fuerzas Policiacas,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0733,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,50 - 100 personas,
0734,Verde,Salud / COVID EMPLEO / SEGURIDAD,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0735,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Liderazgo/Certeza/Compromiso Control Fuerzas Policiacas,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 - 120 personas,
0739,Rojo,Recuperación Economica/Salud COVID/Familia / Futuro,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0740,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,50 - 100 personas,
0741,Amarillo,Relevo Generacional / Confianza / Experiencia ,Liderazgo/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0742,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 - 120 personas,
